,CelebA,FFHQ,FLUX,FaceApp,London-DB,PGGAN-v1,PGGAN-v2,SD1.5,StarGAN,StyleGAN3-FFHQ
CelebA,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FFHQ,0.0,29.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0
FLUX,1.0,2.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
FaceApp,0.0,13.0,0.0,23.0,0.0,1.0,3.0,0.0,0.0,0.0
London-DB,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
PGGAN-v1,0.0,3.0,0.0,6.0,0.0,18.0,13.0,0.0,0.0,0.0
PGGAN-v2,0.0,3.0,0.0,5.0,0.0,12.0,20.0,0.0,0.0,0.0
SD1.5,0.0,8.0,2.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0
StarGAN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,0.0
StyleGAN3-FFHQ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
