,CelebA,FFHQ,FLUX,FaceApp,London-DB,PGGAN-v1,PGGAN-v2,SD1.5,StarGAN,StyleGAN3-FFHQ
CelebA,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
FFHQ,0.0,37.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
FLUX,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FaceApp,0.0,15.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
London-DB,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
PGGAN-v1,0.0,0.0,0.0,0.0,0.0,37.0,3.0,0.0,0.0,0.0
PGGAN-v2,0.0,1.0,0.0,4.0,0.0,3.0,32.0,0.0,0.0,0.0
SD1.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0
StarGAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
StyleGAN3-FFHQ,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
