full_path,true_generator,pred_generator,confidence,entropy
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\162875.jpg,CelebA,CelebA,0.9999999,2.5041546851504614e-06
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00308-1.png,FaceApp,FFHQ,0.5080317,0.743877253276665
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\132_03.jpg,London-DB,London-DB,0.9999969,4.563671994012516e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_00889.png,FFHQ,FaceApp,0.37554988,1.5592131009868526
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p08_s000.png,SD1.5,SD1.5,0.9097012,0.3457156635242195
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0221-10.png,StarGAN,StarGAN,0.9999945,7.245385246310016e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_09873.png,PGGAN-v1,PGGAN-v2,0.59205264,0.6765316049197827
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\201424.jpg,CelebA,CelebA,0.9940949,0.04071240530281643
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_00364-3.png,FaceApp,PGGAN-v2,0.90810734,0.3753601574901265
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_08536.png,PGGAN-v2,FFHQ,0.8440676,0.4543566517026865
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StarGAN\F_STGN_0585-27.png,StarGAN,StarGAN,0.9999982,2.654708804618075e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_07822.png,FFHQ,FFHQ,0.9506143,0.22521786780284186
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\147999.jpg,CelebA,CelebA,0.9973449,0.018658716144467877
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\120043.jpg,CelebA,CelebA,1.0,1.2225789983572995e-06
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01481-1.png,FaceApp,FFHQ,0.5551263,0.7800863550992808
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p04_s009.png,FLUX,FLUX,0.999982,0.0002391493019531728
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_08258.png,FFHQ,FaceApp,0.8788453,0.43301406893320826
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FaceApp\F_FAP0_01445-2.png,FaceApp,FaceApp,0.79925734,0.713884694171481
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\037074.jpg,CelebA,CelebA,1.0,3.1991306825328643e-07
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_09876.png,FFHQ,FFHQ,0.3131686,1.6491983042484288
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v2\F_PGN2_06766.png,PGGAN-v2,PGGAN-v2,0.5078775,0.85250875401016
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FFHQ\R_FFHQ_07872.png,FFHQ,FFHQ,0.5244094,1.1419661991937626
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\165957.jpg,CelebA,CelebA,0.9900002,0.06304216343206268
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\072493.jpg,CelebA,CelebA,0.9911572,0.05707947507697575
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p07_s002.png,SD1.5,PGGAN-v1,0.41812485,1.2092617453295798
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p03_s000.png,SD1.5,SD1.5,0.5239737,0.9666489829087029
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\CelebA\149304.jpg,CelebA,CelebA,0.99999654,5.032256503060183e-05
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\SD1.5\sd15_txt2img_p06_s005.png,SD1.5,FFHQ,0.6816443,0.8291440343970921
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\London-DB\004_03.jpg,London-DB,London-DB,0.99994636,0.0006430860531195063
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0072.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.9996995,0.0031116093825989876
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0088.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.99761117,0.019115048577181427
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\StyleGAN3-FFHQ\stylegan3_ffhq_s0081.png,StyleGAN3-FFHQ,StyleGAN3-FFHQ,0.99435174,0.038811758844351604
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_02289.png,PGGAN-v1,PGGAN-v1,0.8888847,0.44021952995954056
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\PGGAN-v1\F_PGN1_01391.png,PGGAN-v1,PGGAN-v2,0.4907637,1.3247278577284047
C:/Users/thejo/Desktop/WTP/WTP/ganfp_sample_20260627_215414\FLUX\flux1_txt2img_p07_s006.png,FLUX,FLUX,0.99878615,0.00973434678472042
